timestamp,site,LAeq_dB,LAmax_dB,quality_flag,data_quality,LAeq_roll_mean_15min,LAeq_roll_std_15min
2026-01-01 00:00:00,P1,51.2,57.2,OK,OK,,
2026-01-01 00:01:00,P1,49.2,56.9,OK,OK,,
2026-01-01 00:02:00,P1,51.8,56.1,OK,OK,,
2026-01-01 00:03:00,P1,52.1,56.7,OK,OK,,
2026-01-01 00:04:00,P1,47.8,54.6,OK,OK,50.42,1.8498648599289635
2026-01-01 00:05:00,P1,48.7,53.7,OK,OK,50.13333333333333,1.7974055376198963
2026-01-01 00:06:00,P1,50.8,57.3,OK,OK,50.228571428571435,1.6600344230510062
2026-01-01 00:07:00,P1,50.2,54.9,OK,OK,50.225,1.5369264319227702
2026-01-01 00:08:00,P1,50.6,53.9,OK,OK,50.266666666666666,1.4430869689661816
2026-01-01 00:09:00,P1,49.3,55.8,OK,OK,50.17,1.3944732179412973
2026-01-01 00:10:00,P1,,,MISSING,MISSING_OR_OUTLIER,50.17,1.3944732179412973
2026-01-01 00:11:00,P1,51.7,54.9,OK,OK,50.309090909090905,1.4010385758104922
2026-01-01 00:12:00,P1,50.6,56.4,OK,OK,50.333333333333336,1.3384749349596177
2026-01-01 00:13:00,P1,52.2,58.7,OK,OK,50.47692307692308,1.3821202589704022
2026-01-01 00:14:00,P1,51.2,58.6,OK,OK,50.528571428571425,1.3418864857577715
2026-01-01 00:15:00,P1,49.2,52.8,OK,OK,50.385714285714286,1.3710507721380054
2026-01-01 00:16:00,P1,51.0,53.7,OK,OK,50.51428571428572,1.3352367366340487
2026-01-01 00:17:00,P1,49.0,56.8,OK,OK,50.31428571428571,1.3375391541973618
2026-01-01 00:18:00,P1,51.8,54.7,OK,OK,50.292857142857144,1.3088246551857061
2026-01-01 00:19:00,P1,50.3,53.5,OK,OK,50.471428571428575,1.0957460201430533
2026-01-01 00:20:00,P1,50.1,53.9,OK,OK,50.57142857142857,0.9793471698641283
2026-01-01 00:21:00,P1,49.4,54.5,OK,OK,50.471428571428575,1.0246414543098046
